index,title,abstract_cleaned
1,"PERANCANGAN DAN IMPLEMENTASI SISTEM DATABASE 

TERDISTRIBUSI MENGGUNAKAN ORACLE STUDI KASUS 

SIAKAD UNIVERSITAS TRUNOJOYO",sistem informasi akademik siakad rupa sistem informasi fungsi tangan kelola saji datadata akademik pihak fakultas siakad anggap sangat penting beri layan mahasiswa butuh informasi akademik universitas trunojoyo sedia siakad masih database pusat sistem ini beri lebih awat mudah itu butuh sedikit biaya sistem sebut potensi mengahadapi kendalakendala proses transaksi data padat jaring tuju database siakad lambat pemrosesan respon query data simpan makin besar pemrosesan makin kompleks juga milik lemah hal sedia data itu sistem ini perlu kembang sistem database lebih baik guna sistem databases distribusi masingmasing fakultas jadi solusi masalah atas dalam basisdata distribusi dapat untung tidak milik oleh basisdata pusat awas distribusi reability availability cepat dalam pemrosesan query otonomi local
2,APLIKASI KONTROL DAN MONITORING JARINGAN KOMPUTER BERBASIS MOBILE,jalan koneksi jaring komputer lancar ganggu rupa harap seluruh utama pihak tanggung jawab bidang administrator jaring lama koneksi jaring jalan lancar tanpa ganggu nyata lapang utama jaring komputer skala besar potensi besar jadi ganggu bahkan rusa koneksi jaring komputer ini rata rata banyak padat traffic data jaring komputer sendiri karena jaga bahkan tingkat kualitas layan koneksi jaring perlu akses kontrol monitoring level administrator jaring cara realtime bas mobile atur tahu informasi koneksi jaring akses tiap pihak administrator jaring tuntut untuk lebih tahu ganggu bahkan putus koneksi jaring walaupun administrator tidak ada tempat kontrol monitoring ada sistem kontrol monitoring bas mobile harap dapat bantu tugas administrator kontrol pantau jaring serta dalam ambil bijak atas node node koneksi jaring yakni manajemen koneksi port bandwidth tiap cara mobile dengan segera dapat laku benah jadi ganggu jaring pakai jaring klien laku adu atas ada ganggu kata kunci administrator jaring koneksi jaring akses kontrol dan monitoring
3,"RANCANG BANGUN APLIKASI PROXY SERVER UNTUK

ENKRIPSI KODE HTML MENGGUNAKAN

ALGORITMA BLOWFISH",web server buah perangkat lunak server fungsi terima minta http https web client kirim jawab bentuk halamanhalaman web umum bentuk dokumen html dokumen html kirim rupa dokumen bentuk bahasa markup plaintext arti dokumen isi kodekode html murni proses enkripsi tuju penelitan adalah buat buah aplikasi proxy server terima minta http web client terus web server kemudian aplikasi terima respon server laku proses enkripsi dokumen html lebih dokumen html kirim web client bentuk dokumen html enkripsi web client sini upa aplikasi internet explorer mozilla firefox opera aplikasiaplikasi sebut biasa kenal sebut web browser web browser terima dokumen html enkripsi aplikasi proxy server javascript engine ada web browser laku proses dekripsi sekaligus rendering sehingga dokumen tampil sesuai asli apabila kode dokumen html sebut lihat lalu menu view source ada web browser akan dapat dokumen html tetap enkripsi
4,"SISTEM PENDUKUNG KEPUTUSAN OPTIMASI PENJADWALAN MATAKULIAH UNTUK PENGGUNAAN RUANGAN KULIAH BERSAMA DI UNIVERSITAS TRUNOJOYO MADURA MENGGUNAKAN ALGORITMA  

GENETIKA",jadwal kuliah guru tinggi rupa masalah kompleks masalah sebut beberapa variabel harus timbang dapat jadwal optimal susun jadwal kuliah dapat sangat banyak mungkin layak coba temu jadwal baik itu butuh metode optimasi dapat terap kerja jadwal mata kuliah metode dapat selesai masalah sebut algoritma genetika tugas akhir tuju untuk buat suatu sistem dapat buat jadwal matakuliah cara otomatis hasil optimal hasil teliti laku algoritma genetika mampu buat jadwal optimal bukti nilai fitness milik nilai cara otomatis jadwal bentuk optimal moga aplikasi harap mudah dalam buat jadwal matakuliah dengan mudah cepat kata kunci algoritma genetika optimasi jadwal
5,SISTEM AUGMENTED REALITY ANIMASI BENDA BERGERAK MENGGUNAKAN FLARTOOLKIT,iring kembang teknologi ada dunia muncul teknologi sebut augmented reality augmented reality ar rupa upaya gabung dunia maya dunia virtual buat lalu komputer batas dua jadi sangat tipis headmounted display hmd rupa contoh hasil teliti augmented reality rupa satusatunya alat dasar teknologiteknologi baru iring jalan waktu augmented reality kembang pesat mungkin kembang aplikasi di bagai bidang kembang ar banyak sekali library dukung flartoolkit salah satu flartoolkit rupa library dukung augmented reality platform flash dasar sistem ar animasi benda gerak buat animasi gerak main pingpong mana kolaborasi augmented reality gerak tiap langkah playernya interaksi antar obyek sebut dapat lihat gerak bola dapat pukul obyek virtual tampil lalu augmented reality
6,Gerak Pekerja Pada Game Real Time Strategy Menggunakan Finite State Machine,gerak kerja game milik genre rts realtime strategy gerak kerja milik bagai macam gerak sebab butuh buah dekat konsep ai desain perilaku kerja sebut perilaku karakter sebut tambah ai artifical intelegent perilaku jadi lebih hidup realistis teliti ai finite state machine finite state machine guna gerak kerja hadap parameterparameter guna bagai dasar gerak laku lanjut akan simulasi pada game rts guna game engine hasil di dalam teliti adalah terap metode finite state machine untuk tentu gerak kerja dasar parameter jumlah harta prajurit kondisi bangun stockpile jumlah resources di bawa kata kunci game realtime strategy gerak kerja finite state machine
7,RANCANG BANGUN GAME PERAWATAN SAPI KARAPAN MENGGUNAKAN METODE FUZZY LOGIC,kembang game makin pesat beri bagai alternative minat mulai bentuk game cerita maupun media saji game gambar budaya indonesia khusus daerah pulau madura hitung sedikit rasa makin luntur budaya indonesia anak bangsa minat game makin banyak dapat bagai sarana kenal budaya asli madura buah aplikasi game olahraga sangat gari pulau madura sebut kerap sapi sangat penting itu perlu bangun aplikasi game kerap sapi bagai upaya lestari budaya bangsa khusus pulau madura upaya buat game budaya bangun game awat sapi karapan guna metode logika fuzzy fuzzy logic menginputkan parameter kuat sehat sapi karapan tentu harga jual sapi karapan buah game awat sapi karapan kata kunci game kerap sapi awat sapi kerap budaya madura
8,EKSTRAKSI FITUR BERBASIS TWO DIMENSIONAL LINEAR DISCRIMINANT ANALYSIS  UNTUK PENGENALAN WAJAH,sistem kenal wajah suatu sistem nali identitas diri orang lalu wajah manusia teknologi identifikasi tubuh manusia unik tetap wajah manusia khusus bidang identifikasi kenal wajah manusia manfaat olah juga analisis citra wajah akan peran penting proses kenal wajah manusia sistem dapat manfaat suatu sistem aman bidang biometrika teliti telah bangun suatu perangkat lunak kenal citra wajah manusia metode two dimensional linear discriminant analysis dlda tentu karakteristik wajah manusia sedang tahap klasifikasi metode angular separation ukur mirip data latih training data uji coba testing lalu proses testing gambar wajah dapat tahu identitas diri orang uji coba aplikasi klasifikasi angular separation oleh akurasi kenal benar besar lima pose citra wajah latih lima pose citra wajah uji coba testing jumlah data masing masing ratus citra wajah manusia di ambil database orl guna puluh eigen kata kunci sistem kenal wajah two dimensional linear discriminant analysis angular separation
9,IMPLEMENTASI  ALGORITMA PRIM  DAN DEPTH FIRST SEARCH PADA PEMBUATAN MAZE GAME BERBASIS ANDROID OS MOBILE,teknologi mobile game beroperating system open source kembang sangat pesat ragam variasi mobile game milik banyak minat bagai kalang jadi dasar para kembang terus kembang mobile game teliti ini buah mobile game asah mampu berfikir kembang implementasi algoritma prim depth first search buat algoritma prim terap saat buat lintas maze sedang algoritma depth first search terap saat laku proses cari solusi hasil uji simpul algoritma prim depth first search fungsi baik resolusi screen x pixels bentuk lintas cari solusi maze kata kunci mobile game android algoritma prim algoritma depth first search
10,Perancangan Sistem Informasi Badan Kepegawaian Daerah ( BKD ) Bangkalan Sebagai Sub sistem dari E-Government Bangkalan Menggunakan TOGAF ADM ,kantor badan pegawai kota bangkal instansi perintah gerak bidang layan pegawai tingkat kualitas layan perlu buah sistem informasi mampu memonitoring bantu proses kerja dinas sebut karena teliti bahas bagaimana terap architecture enterprise bkd bangkal menggunakkan metode togaf adm mengimplementa sikannya buah implementasi aplikasi enterprise akan bentuk jadi satu padu egovernment bangkal togaf adm milik empat komponen utama arsitektur bisnis arsitektur data arsitektur teknologi arsitektur aplikasi inti togaf untuk buat architecture enterprise semua aspek sebut dalam teliti akan bahas ancang sistem arsitektur sistem informasi bkd bangkal bagai subsistem egovernment bangkal guna togaf adm tuju dapat hasil sistem aplikasi administrasi kantor badan pegawai daerah bangkal buat blue print baik efisiensi nyaman aksesibilitas layan hadap publik lebih baik kata kunci arsitektur interprise togaf adm arsitektur bisnis arsitektur data arsitektur aplikasi arsitektur teknologi
11,PEMANFAATAN TOGAF ADM UNTUK PERANCANGAN SISTEM INFORMASI DINAS PERINDUSTRIAN & PERDAGANGAN SEBAGAI SUB SISTEM ARSITEKTUR E-GOVERNMENT KABUPATEN BANGKALAN,susun sistem informasi dinas industri dagang disperindag kabupaten bangkal buat tingkat kualitas layan bantu proses kerja dinas sebut salah satu faktor dorong manfaat sistem informasi lebih baik makin tingkat butuh fungsi layan jalan tuju terap arsitektur enterprise cipta selaras bisnis teknologi informasi butuh instansi terap arsitektur enterprise lepas bagaimana buah instansi rencana rancang arsitektur enterprise sebut togaf adm rupa metodologi lengkap banyak instansi tidak paham cara jelas tahap tahap metodologi sebut terjemah aktivitas ancang arsitektur enterprise tahap ancang arsitektur enterprise sangat penting akan lanjut tahap ikut rencana implementasi togaf adm milik empat komponen utama arsitektur bisnis arsitektur data arsitektur teknologi arsitektur aplikasi inti togaf buat arsitektur enterprise semua aspek sebut hasil model kerangka dasar dalam kembang sistem informasi integrasi untuk dukung butuh dinas industri dagang sesuai atur bupati bangkal nomor tahun urai tugas jabat struktural dinas industri dagang
12,APLIKASI METODE FUZZY ANALYTIC NETWORK PROCESS (FANP) UNTUK MENDUKUNG KEPUTUSAN PROSES PROMOSI JABATAN DI PT. SURYA MADISTRINDO PAMEKASAN,usaha perintah maupun swasta punya tuju harus capai capai tuju usaha laku manfaat sumber daya milik cara optimal salah satu sumber daya sebut sumber daya manusia milik usaha sesuai atur telah tetap pt surya madistrindo pamekasan laku proses promosi jabat perlu kriteriakriteria aspek kapasitas intelektual aspek sikap kerja aspek perilaku masingmasing punya sub kriteria sendiri metode metode fuzzy analytic network process fanp metode fanp sendiri guna untuk cari bobot prioritas penting seluruh kriteria sub kriteria telah tetap bagai proses rangking atas bobot kriteria masingmasing data karyawan bobot hasil kuesioner laku pimpin usaha proses rangking laku cara ali nilai bobot kriteria tiaptiap sub kriteria mampu seleksi karyawan hak duduk jabat sedia dasar kriteriakriteria tentu dari hasil uji coba selesai studi kasus proses promosi jabat karyawan hasil nilai akurasi besar kata kunci sistem dukung putus promosi jabat fuzzy analytic network process fanp
