index,title,abstract_cleaned
1,"PERANCANGAN DAN IMPLEMENTASI SISTEM DATABASE 

TERDISTRIBUSI MENGGUNAKAN ORACLE STUDI KASUS 

SIAKAD UNIVERSITAS TRUNOJOYO",sistem informasi akademik siakad merupakan sistem informasi berfungsi menangani pengelolaan penyajian datadata akademik pihak fakultas siakad dianggap sangat penting memberikan pelayanan mahasiswa membutuhkan informasi akademik universitas trunojoyo tersedia siakad masih menggunakan database terpusat sistem ini memberikan kelebihan perawatannya mudah itu membutuhkan sedikit biaya sistem tersebut berpotensi mengahadapi kendalakendala proses transaksi data padatnya jaringan menuju database siakad kelambatan pemrosesan respon query dikarenakan data tersimpan semakin besar pemrosesan semakin kompleks juga memiliki kelemahan hal ketersediaan data itu sistem ini memerlukan pengembangan sistem database lebih baik menggunakan sistem databases terdistribusi masingmasing fakultas dapat dijadikan solusi permasalahan atas dalam basisdata terdistribusi terdapat keuntungan tidak dimiliki oleh basisdata terpusat pengawasan distribusi reability availability kecepatan dalam pemrosesan query otonomi local
2,APLIKASI KONTROL DAN MONITORING JARINGAN KOMPUTER BERBASIS MOBILE,berjalannya koneksi jaringan komputer lancar gangguan merupakan harapan seluruh penggunanya terutama pihak bertanggung jawab bidang administrator jaringan selamanya koneksi jaringan berjalan lancar tanpa adanya gangguan kenyataan lapangan terutama jaringan komputer skala besar berpotensi besar terjadi gangguan bahkan kerusakan koneksi jaringan komputer ini rata rata disebabkan banyaknya penggunaan padatnya traffic data jaringan komputer sendiri karena menjaga bahkan meningkatkan kualitas layanan koneksi jaringan diperlukan adanya akses kontrol monitoring level administrator jaringan realtime berbasis mobile mengatur mengetahui informasi koneksi jaringan diakses saat pihak administrator jaringan dituntut untuk terlebih mengetahui adanya gangguan bahkan terputusnya koneksi jaringan walaupun administrator tidak berada tempat kontrol monitoring adanya sistem kontrol monitoring berbasis mobile diharapkan dapat membantu tugas administrator mengontrol memantau jaringan dalam mengambil kebijakan atas node – node terkoneksi jaringan yakni memanajemen koneksi port bandwidth saat secara mobile dengan segera dapat melakukan pembenahan terjadi gangguan jaringan pemakai jaringan klien melakukan pengaduan atas adanya gangguan kata kunci administrator jaringan koneksi jaringan akses kontrol monitoring
3,"RANCANG BANGUN APLIKASI PROXY SERVER UNTUK

ENKRIPSI KODE HTML MENGGUNAKAN

ALGORITMA BLOWFISH",web server sebuah perangkat lunak server berfungsi menerima permintaan http https web client mengirimkan jawaban bentuk halamanhalaman web umumnya berbentuk dokumen html dokumen html dikirim merupakan dokumen dibentuk bahasa markup plaintext artinya dokumen berisi kodekode html murni proses enkripsi tujuan penelitan adalah membuat sebuah aplikasi proxy server menerima permintaan http web client meneruskannya web server kemudian aplikasi menerima respon server melakukan proses enkripsi dokumen html terlebih dokumen html dikirim web client berbentuk dokumen html terenkripsi web client disini berupa aplikasi internet explorer mozilla firefox opera aplikasiaplikasi tersebut biasa dikenal sebutan web browser web browser menerima dokumen html terenkripsi aplikasi proxy server javascript engine ada web browser melakukan proses dekripsi sekaligus rendering sehingga dokumen ditampilkan sesuai aslinya apabila kode dokumen html tersebut dilihat melalui menu view source ada web browser akan didapatkan dokumen html tetap terenkripsi
4,"SISTEM PENDUKUNG KEPUTUSAN OPTIMASI PENJADWALAN MATAKULIAH UNTUK PENGGUNAAN RUANGAN KULIAH BERSAMA DI UNIVERSITAS TRUNOJOYO MADURA MENGGUNAKAN ALGORITMA  

GENETIKA",penjadwalan kuliah perguruan tinggi merupakan masalah kompleks permasalahan tersebut terdapat beberapa variabel harus dipertimbangkan mendapatkan jadwal optimal dalam penyusunan jadwal kuliah terdapat sangat banyak kemungkinan selayaknya dicoba menemukan penjadwalan terbaik itu dibutuhkan metode optimasi dapat diterapkan mengerjakan penjadwalan mata kuliah metode dapat digunakan menyelesaikan permasalahan tersebut menggunakan algoritma genetika tugas akhir bertujuan membuat suatu sistem dapat membuat jadwal matakuliah otomatis hasilnya optimal hasil penelitian dilakukan algoritma genetika mampu membuat jadwal optimal dibuktikan nilai fitness memiliki nilai otomatis jadwal dibentuk optimal semoga adanya aplikasi diharapkan mempermudah didalam pembuatan penjadwalan matakuliah dengan mudah cepat kata kunci algoritma genetika optimasi penjadwalan
5,SISTEM AUGMENTED REALITY ANIMASI BENDA BERGERAK MENGGUNAKAN FLARTOOLKIT,seiring perkembangan teknologi ada didunia muncul teknologi disebut augmented reality augmented reality ar merupakan upaya menggabungkan dunia maya dunia virtual dibuat melalui komputer batas keduanya menjadi sangat tipis headmounted display hmd merupakan contoh hasil penelitian augmented reality merupakan satusatunya peralatan dasar teknologiteknologi terbaru seiring berjalannya waktu augmented reality berkembang pesat memungkinkan pengembangan aplikasi di berbagai bidang mengembangkan ar banyak sekali library pendukung digunakan flartoolkit salah satunya flartoolkit merupakan library pendukung augmented reality platform flash berdasarkan sistem ar animasi benda bergerak dibuat animasi bergerak permainan pingpong telah dikolaborasikan augmented reality menggerakkan langkah playernya interaksi antar obyek tersebut dapat dilihat gerak bola dapat dipukul obyek virtual ditampilkan melalui augmented reality
6,Gerak Pekerja Pada Game Real Time Strategy Menggunakan Finite State Machine,gerak pekerja game memiliki genre rts realtime strategy gerak pekerja memiliki berbagai macam gerak sebab dibutuhkan sebuah pendekatan konsep ai mendesain perilaku pekerja tersebut perilaku karakter tersebut ditambahi ai artifical intelegent perilakunya menjadi lebih hidup realistis penelitian ai digunakan finite state machine finite state machine digunakan menentukan gerak pekerja parameterparameter digunakan dasar gerak dilakukan selanjutnya akan disimulasikan pada game rts menggunakan game engine hasil di peroleh penelitian adalah penerapan metode finite state machine menentukan gerak pekerja berdasarkan parameter jumlah harta prajurit kondisi bangunan stockpile jumlah resources di bawa kata kunci game realtime strategy gerak pekerja finite state machine
7,RANCANG BANGUN GAME PERAWATAN SAPI KARAPAN MENGGUNAKAN METODE FUZZY LOGIC,perkembangan game semakin pesat memberikan berbagai alternative peminatnya mulai bentuk game cerita maupun media penyajian keberadaan game menggambarkan budaya indonesia khususnya daerah kepulauan madura terhitung sedikit dirasa semakin lunturnya kebudayaan indonesia anak bangsa adanya peminat game semakin banyak dapat digunakan sarana pengenalan budaya asli madura sebuah aplikasi game olahraga sangat digemari pulau madura tersebut kerapan sapi sangatlah penting itu perlu dibangun aplikasi game kerapan sapi upaya pelestarian budaya bangsa khususnya pulau madura upaya pembuatan game budaya dibangun game perawatan sapi karapan menggunakan metode logika fuzzy fuzzy logic menginputkan parameter kekuatan kesehatan sapi karapan menentukan harga jual sapi karapan sebuah game perawatan sapi karapan kata kunci game kerapan sapi perawatan sapi kerapan budaya madura
8,EKSTRAKSI FITUR BERBASIS TWO DIMENSIONAL LINEAR DISCRIMINANT ANALYSIS  UNTUK PENGENALAN WAJAH,sistem pengenalan wajah suatu sistem mengenali identitas diri seseorang melalui wajah manusia teknologi mengidentifikasi bagian tubuh manusia unik tetap wajah manusia khusus bidang identifikasi pengenalan wajah manusia memanfaatkan pengolahan juga analisis citra wajah akan berperan penting proses pengenalan wajah manusia sistem dapat manfaatkan suatu sistem keamanan bidang biometrika penelitian telah bangun suatu perangkat lunak pengenalan citra wajah manusia menggunakan metode two dimensional linear discriminant analysis dlda menentukan karakteristik wajah manusia tahap pengklasifikasian digunakan metode angular separation mengukur kemiripan data pelatihan training data uji coba testing melalui proses testing gambar wajah dapat ketahui identitas diri seseorang uji coba aplikasi menggunakan klasifikasi angular separation peroleh akurasi pengenalan benar sebesar pada lima pose citra wajah pelatihan lima pose citra wajah uji coba testing jumlah data masing masing ratus citra wajah manusia di ambil database orl menggunakan sepuluh eigen kata kunci sistem pengenalan wajah two dimensional linear discriminant analysis angular separation
9,IMPLEMENTASI  ALGORITMA PRIM  DAN DEPTH FIRST SEARCH PADA PEMBUATAN MAZE GAME BERBASIS ANDROID OS MOBILE,teknologi mobile game beroperating system open source berkembang sangat pesat keragaman variasinya mobile game memiliki banyak peminat berbagai kalangan inilah menjadi dasar para pengembang terus mengembangkan mobile game penelitian sebuah mobile game mengasah kemampuan berfikir dikembangkan mengimplementasikan algoritma prim depth first search pembuatannya algoritma prim diterapkan saat pembuatan lintasan maze algoritma depth first search diterapkan saat melakukan proses pencarian solusinya hasil pengujian disimpulkan algoritma prim depth first search berfungsi baik resolusi screen x pixels pembentukan lintasan pencarian solusi maze kata kunci mobile game android algoritma prim algoritma depth first search
10,Perancangan Sistem Informasi Badan Kepegawaian Daerah ( BKD ) Bangkalan Sebagai Sub sistem dari E-Government Bangkalan Menggunakan TOGAF ADM ,kantor badan kepegawaian kota bangkalan instansi pemerintahan bergerak bidang pelayanan kepegawaian meningkatkan kualitas pelayanan perlu adanya sebuah sistem informasi mampu memonitoring membantu proses kinerja dinas tersebut karena penelitian dibahas bagaimana menerapkan architecture enterprise bkd bangkalan menggunakkan metode togaf adm mengimplementa sikannya kedalam sebuah implementasi aplikasi enterprise akan dibentuk menjadi satu keterpaduan egovernment bangkalan togaf adm memiliki empat komponen utama arsitektur bisnis arsitektur data arsitektur teknologi arsitektur aplikasi intinya togaf digunakan membuat architecture enterprise semua aspek tersebut dalam penelitian akan dibahas perancangan sistem arsitektur sistem informasi bkd bangkalan subsistem egovernment bangkalan menggunakan togaf adm tujuannya dapat menghasilkan sistem aplikasi administrasi kantor badan kepegawaian daerah bangkalan membuat blue print memperbaiki efisiensi kenyamanan aksesibilitas pelayanan publik lebih baik kata kunci arsitektur interprise togaf adm arsitektur bisnis arsitektur data arsitektur aplikasi arsitektur teknologi
